Melanie Roski, Ingrid Schacherl	151.6540069580078	88.734130859375	10.0	145.0299835205078	0
Die Professionalisierung der Gleichstellungsarbeit im	151.6540069580078	117.63653564453125	14.0	343.0979766845703	1
Reformprozess – Ausbau von Gleichstellungswissen	151.6540069580078	133.63885498046875	14.0	332.93397521972656	1
und Genderkompetenz in Hochschulen	151.6540069580078	149.64117431640625	14.0	254.3519744873047	1
Zusammenfassung	157.32321166992188	191.9888916015625	9.0	71.51399230957031	2
Der Beitrag beschäftigt sich mit Prozessen	157.32321166992188	211.98480224609375	7.999969482421875	153.07199096679688	3
des Gender Mainstreamings an Hochschulen	157.32321166992188	221.58477783203125	8.0	153.07196044921875	3
und referiert empirische Ergebnisse aus einer	157.32321166992188	231.18478393554688	8.0	153.07199096679688	3
qualitativen Studie an 13 deutschen Hoch-	157.3231964111328	240.7847900390625	8.0	153.07200622558594	3
schulen. Untersucht wurde die Professio-	157.3231964111328	250.38479614257812	8.0	153.0720672607422	3
nalisierung der Gleichstellungsarbeit im Zuge	157.3231964111328	259.98480224609375	8.0	153.07359313964844	3
der Hochschulreform. Die Ergebnisse zeigen:	157.3231964111328	269.5848083496094	8.0	153.07020568847656	3
Für gleichstellungsorientierte Innovationen	157.3231964111328	279.184814453125	8.0	153.07200622558594	3
bedarf es externer Impulse sowie der Über-	157.3231964111328	288.7848205566406	8.0	153.0702667236328	3
nahme von Verantwortung für die Umset-	157.3231964111328	298.38482666015625	8.0	153.0720977783203	3
zung durch die Hochschulleitung. Die Hoch-	157.3231964111328	307.9848327636719	8.0	153.07215881347656	3
schulen verfolgen verschiedene Konzepte,	157.3231964111328	317.5848388671875	8.0	153.0712127685547	3
um Gleichstellungsaufgaben institutionell in	157.3231964111328	327.1848449707031	8.0	153.07200622558594	3
die Hochschulsteuerung zu integrieren. An	157.3231964111328	336.78485107421875	8.0	153.0705108642578	3
einigen Hochschulen wurden Gleichstellungs-	157.3231964111328	346.3848571777344	8.0	153.07212829589844	3
büros zu internen Genderkompetenzzentren	157.3231964111328	355.98486328125	8.0	153.07142639160156	3
ausgebaut oder vergleichbare Stabsstellen	157.3231964111328	365.5848693847656	8.0	153.07115173339844	3
eingerichtet. Durch neue Akteurskonstella-	157.3231964111328	375.18487548828125	8.0	153.0715789794922	3
tionen, Instrumente und Verfahren wurden	157.3231964111328	384.7848815917969	8.0	153.0722198486328	3
die strukturellen Voraussetzungen zum Aus-	157.3231964111328	394.3848876953125	8.0	153.0738067626953	3
bau der Genderwissensbasis geschaffen. Das	157.3231964111328	403.9848937988281	8.0	153.07203674316406	3
hat gleichzeitig die organisationale und die	157.3231964111328	413.58489990234375	8.0	153.07200622558594	3
beruﬂiche Professionalisierung von Gleich-	157.3231964111328	423.1849060058594	8.0	153.0768585205078	3
stellungsarbeit befördert.	157.3231964111328	432.784912109375	8.0	85.63984680175781	3
Schlüsselwörter	157.3231964111328	452.1404724121094	8.0	52.88800048828125	4
Gleichstellungspolitik, Gender Mainstrea-	157.3231964111328	461.5849304199219	8.0	153.07179260253906	4
ming, Genderkompetenz, Hochschulmanage-	157.3231964111328	471.1849365234375	8.0	153.07359313964844	4
ment, Professionalisierung, gleichstellungs-	157.3231964111328	480.7849426269531	8.0	153.07200622558594	4
orientierte Steuerung	157.3231964111328	490.38494873046875	8.0	72.447998046875	4
GENDER Heft 1 | 2014, S. 44–64	151.6540069580078	675.3865966796875	7.15020751953125	101.22587585449219	5
Summary	341.5751953125	191.99005126953125	9.0	35.990997314453125	6
Modernising universities and professionalis-	341.5751953125	211.986328125	8.0	153.0711669921875	7
ing equality work – Extending knowledge of	341.5751953125	221.58633422851562	8.0	153.07037353515625	7
gender equality and gender competencies	341.5751953125	231.18634033203125	8.0	143.135986328125	7
The article deals with gender mainstream-	341.5751953125	250.3863525390625	8.0	153.0721435546875	8
ing at universities and refers to the empiri-	341.5751953125	259.9863586425781	8.0	153.0679931640625	8
cal results of a qualitative study carried out	341.5751953125	269.58636474609375	8.0	153.07437133789062	8
at 13 universities in Germany. The focus of	341.5751953125	279.1863708496094	8.0	153.0694580078125	8
the study was the professionalism of gender	341.5751953125	288.786376953125	8.0	153.07208251953125	8
equality work in the context of the moderni-	341.5751953125	298.3863830566406	8.0	153.07278442382812	8
sation of higher education institutions in Ger-	341.5751953125	307.98638916015625	8.0	153.07376098632812	8
many. The results show the need for exter-	341.5751953125	317.5863952636719	8.0	153.07376098632812	8
nal incentives and for the university heads to	341.5751953125	327.1864013671875	8.0	153.06878662109375	8
take responsibility for implementing innova-	341.5751953125	336.7864074707031	8.0	153.07357788085938	8
tions focusing on gender equality. The uni-	341.5751953125	346.38641357421875	8.0	153.07354736328125	8
versities use different concepts to integrate	341.5751953125	355.9864196777344	8.0	153.07192993164062	8
equality tasks on an institutional level into	341.5751953125	365.58642578125	8.0	153.07199096679688	8
the universities’ steering organs. Some have	341.5751953125	375.1864318847656	8.0	153.072021484375	8
transformed their equal opportunities ofﬁc-	341.5751953125	384.78643798828125	8.0	153.072021484375	8
